timestamp,contatori_3_persone_media,contatori_2_persone_media,contatori_5_persone_media,contatori_4_persone_media
2002-01-01,96.88,64.34285714285714,165.0648148148148,124.57894736842105
2002-01-02,83.77,56.87619047619047,129.30555555555554,107.48421052631579
2002-01-03,78.04,53.20952380952381,126.5,109.51578947368421
2002-01-04,81.58,52.05714285714286,133.40740740740742,104.10526315789474
2002-01-05,90.27,65.23809523809524,163.33333333333334,133.38947368421051
2002-01-06,94.77,63.12380952380953,151.99074074074073,128.83157894736843
2002-01-07,78.35,50.97142857142857,123.02777777777777,107.21052631578948
2002-01-08,75.96,57.43809523809524,135.10185185185185,104.46315789473684
2002-01-09,79.45,47.99047619047619,136.0648148148148,103.41052631578947
2002-01-10,78.48,54.12380952380953,140.40740740740742,104.8
2002-01-11,87.38,56.25714285714286,133.6851851851852,97.56842105263158
2002-01-12,100.99,59.714285714285715,155.2685185185185,127.30526315789474
2002-01-13,93.71,65.76190476190476,164.89814814814815,126.76842105263158
2002-01-14,76.54,51.285714285714285,120.9074074074074,101.48421052631579
2002-01-15,70.56,51.2952380952381,129.0648148148148,117.46315789473684
2002-01-16,83.34,53.94285714285714,121.88888888888889,111.41052631578947
2002-01-17,78.59,55.94285714285714,122.04629629629629,92.56842105263158
2002-01-18,76.54,47.76190476190476,120.73148148148148,104.36842105263158
2002-01-19,98.22,57.97142857142857,160.61111111111111,130.26315789473685
2002-01-20,92.61,66.0,161.00925925925927,124.9578947368421
2002-01-21,81.95,47.21904761904762,127.86111111111111,99.50526315789473
2002-01-22,77.9,54.114285714285714,134.30555555555554,108.66315789473684
2002-01-23,75.16,52.49523809523809,123.21296296296296,110.73684210526316
2002-01-24,78.27,51.38095238095238,127.0,101.32631578947368
2002-01-25,75.5,55.95238095238095,128.65740740740742,101.7578947368421
2002-01-26,89.23,64.64761904761905,159.11111111111111,126.01052631578948
2002-01-27,91.51,64.1047619047619,151.5462962962963,128.4842105263158
2002-01-28,78.97,48.22857142857143,120.0,109.92631578947369
2002-01-29,76.24,52.84761904761905,120.48148148148148,105.01052631578948
2002-01-30,75.05,51.67619047619048,130.9537037037037,103.2421052631579
2002-01-31,80.06,51.34285714285714,127.92592592592592,105.53684210526316
2002-02-01,83.34,49.15238095238095,133.8148148148148,107.25263157894737
2002-02-02,98.04,64.67619047619047,156.92592592592592,126.50526315789473
2002-02-03,89.91,66.06666666666666,162.53703703703704,124.2421052631579
2002-02-04,71.84,50.94285714285714,122.89814814814815,100.65263157894736
2002-02-05,75.6,48.79047619047619,137.00925925925927,109.97894736842105
2002-02-06,95.87,62.857142857142854,154.7685185185185,130.03157894736842
2002-02-07,91.2,64.6,155.37037037037038,129.09473684210528
2002-02-08,84.16,45.20952380952381,132.11111111111111,111.07368421052631
2002-02-09,91.68,60.75238095238095,163.91666666666666,124.34736842105264
2002-02-10,96.26,62.266666666666666,152.1851851851852,122.2
2002-02-11,73.76,50.77142857142857,124.03703703703704,106.97894736842105
2002-02-12,76.56,53.67619047619048,126.54629629629629,102.9578947368421
2002-02-13,81.08,51.03809523809524,135.21296296296296,111.97894736842105
2002-02-14,92.4,63.647619047619045,167.91666666666666,123.12631578947368
2002-02-15,79.04,52.0,125.5925925925926,101.02105263157895
2002-02-16,90.99,61.31428571428572,160.41666666666666,121.77894736842106
2002-02-17,97.6,64.3047619047619,153.96296296296296,127.28421052631579
2002-02-18,78.28,49.76190476190476,133.1851851851852,103.2421052631579
2002-02-19,80.62,52.77142857142857,124.27777777777777,115.22105263157894
2002-02-20,77.03,56.12380952380953,137.24074074074073,101.46315789473684
2002-02-21,78.26,54.12380952380953,133.62962962962962,98.32631578947368
2002-02-22,75.18,51.08571428571429,122.0925925925926,102.53684210526316
2002-02-23,92.86,61.84761904761905,150.41666666666666,136.46315789473684
2002-02-24,93.99,67.73333333333333,162.99074074074073,130.7157894736842
2002-02-25,77.15,50.476190476190474,121.21296296296296,91.73684210526316
2002-02-26,76.14,50.6,125.10185185185185,104.4421052631579
2002-02-27,80.77,51.21904761904762,136.72222222222223,115.5578947368421
2002-02-28,76.36,54.857142857142854,128.94444444444446,108.84210526315789
2002-03-01,79.67,54.6,134.12962962962962,110.7578947368421
2002-03-02,97.0,60.95238095238095,157.64814814814815,124.9578947368421
2002-03-03,91.6,63.80952380952381,152.35185185185185,130.30526315789473
2002-03-04,78.33,51.666666666666664,129.19444444444446,99.74736842105263
2002-03-05,76.71,55.59047619047619,131.46296296296296,99.34736842105264
2002-03-06,78.86,52.03809523809524,126.03703703703704,103.70526315789473
2002-03-07,71.85,53.266666666666666,138.78703703703704,103.03157894736842
2002-03-08,72.45,53.21904761904762,126.16666666666667,116.91578947368421
2002-03-09,96.41,66.23809523809524,164.44444444444446,132.10526315789474
2002-03-10,94.4,65.54285714285714,156.80555555555554,129.52631578947367
2002-03-11,83.39,49.27619047619048,129.75925925925927,106.76842105263158
2002-03-12,74.88,49.23809523809524,126.76851851851852,99.53684210526316
2002-03-13,84.48,53.63809523809524,137.14814814814815,99.97894736842105
2002-03-14,76.18,55.05714285714286,140.80555555555554,106.2
2002-03-15,77.28,52.78095238095238,129.16666666666666,104.7578947368421
2002-03-16,98.54,62.06666666666667,155.30555555555554,131.4842105263158
2002-03-17,91.84,62.24761904761905,153.2962962962963,131.13684210526316
2002-03-18,77.16,52.647619047619045,136.34259259259258,99.88421052631578
2002-03-19,84.29,49.6,132.03703703703704,111.0421052631579
2002-03-20,86.74,51.923809523809524,131.82407407407408,106.77894736842106
