Date,Yearly
1965-03-01,0.39451727
1965-04-01,0.37333602
1965-05-01,0.26035655
1965-06-01,0.09889656
1965-07-01,-0.063307
1965-08-01,-0.21704711
1965-09-01,-0.30702707
1965-10-01,-0.32814115
1965-11-01,-0.26081324
1965-12-01,-0.13260303
1966-01-01,0.009768736
1966-02-01,0.14857367
1966-03-01,0.22853176
1966-04-01,0.25471836
1966-05-01,0.21055917
1966-06-01,0.12830569
1966-07-01,0.03065113
1966-08-01,-0.08018398
1966-09-01,-0.15452075
1966-10-01,-0.19926503
1966-11-01,-0.18088745
1966-12-01,-0.119646676
1967-01-01,-0.040895127
1967-02-01,0.04422218
1967-03-01,0.103576265
1967-04-01,0.13425903
1967-05-01,0.123473674
1967-06-01,0.08594419
1967-07-01,0.051427618
1967-08-01,-0.0074022505
1967-09-01,-0.05422077
1967-10-01,-0.09425089
1967-11-01,-0.0952158
1967-12-01,-0.072372854
1968-01-01,-0.0361543
1968-02-01,0.014008336
1968-03-01,0.050544072
1968-04-01,0.07569723
1968-05-01,0.07301765
1968-06-01,0.055856258
1968-07-01,0.04102064
1968-08-01,-0.0059818584
1968-09-01,-0.048728354
1968-10-01,-0.087700725
1968-11-01,-0.09497061
1968-12-01,-0.072343834
1969-01-01,-0.03621255
1969-02-01,0.021204345
1969-03-01,0.066361114
1969-04-01,0.10125827
1969-05-01,0.10037353
1969-06-01,0.07187089
1969-07-01,0.03996617
1969-08-01,-0.016980844
1969-09-01,-0.06448073
1969-10-01,-0.10174033
1969-11-01,-0.103551194
1969-12-01,-0.07433686
1970-01-01,-0.027434262
1970-02-01,0.036291618
1970-03-01,0.07215022
1970-04-01,0.0809524
1970-05-01,0.05000048
1970-06-01,0.0018298831
1970-07-01,-0.033215225
1970-08-01,-0.07780296
1970-09-01,-0.095938385
1970-10-01,-0.08900244
1970-11-01,-0.04259156
1970-12-01,0.03172938
1971-01-01,0.10101336
1971-02-01,0.16010231
1971-03-01,0.16344014
1971-04-01,0.13244385
1971-05-01,0.053899407
1971-06-01,-0.035819028
1971-07-01,-0.10386252
1971-08-01,-0.16329156
1971-09-01,-0.1811735
1971-10-01,-0.16556844
1971-11-01,-0.10502977
1971-12-01,-0.012755042
1972-01-01,0.07325485
1972-02-01,0.1510205
1972-03-01,0.17624769
1972-04-01,0.16135892
1972-05-01,0.09960995
1972-06-01,0.018562699
1972-07-01,-0.045316756
1972-08-01,-0.10933994
1972-09-01,-0.13526975
1972-10-01,-0.1293298
1972-11-01,-0.07739831
1972-12-01,-0.00097473763
1973-01-01,0.07525202
1973-02-01,0.13905777
1973-03-01,0.14500742
1973-04-01,0.10383044
1973-05-01,0.01442354
1973-06-01,-0.09006486
1973-07-01,-0.16317157
1973-08-01,-0.21152212
1973-09-01,-0.19566888
1973-10-01,-0.12298791
1973-11-01,0.0057068537
1973-12-01,0.16942826
1974-01-01,0.30116045
1974-02-01,0.38537657
1974-03-01,0.3576924
1974-04-01,0.23391178
1974-05-01,0.020509765
1974-06-01,-0.20723923
1974-07-01,-0.39384672
1974-08-01,-0.5167462
1974-09-01,-0.5267646
1974-10-01,-0.41767362
1974-11-01,-0.20761913
1974-12-01,0.06297849
1975-01-01,0.3125693
1975-02-01,0.5055879
1975-03-01,0.55512995
1975-04-01,0.48346803
1975-05-01,0.29749924
1975-06-01,0.06383192
1975-07-01,-0.14641164
1975-08-01,-0.31022102
1975-09-01,-0.37541312
1975-10-01,-0.3483615
1975-11-01,-0.22656055
1975-12-01,-0.06087227
1976-01-01,0.09741746
1976-02-01,0.2127503
1976-03-01,0.23364292
1976-04-01,0.17701313
1976-05-01,0.058046777
1976-06-01,-0.07592358
1976-07-01,-0.16041993
1976-08-01,-0.20546031
1976-09-01,-0.18363391
1976-10-01,-0.115205206
1976-11-01,0.002589379
1976-12-01,0.12639202
1977-01-01,0.21542251
1977-02-01,0.25669602
1977-03-01,0.21867037
1977-04-01,0.12811168
1977-05-01,-0.007278041
1977-06-01,-0.1275106
1977-07-01,-0.19786136
1977-08-01,-0.22949351
1977-09-01,-0.19933182
1977-10-01,-0.12821293
1977-11-01,-0.02496005
1977-12-01,0.0877455
1978-01-01,0.16599901
1978-02-01,0.21532944
1978-03-01,0.19009602
1978-04-01,0.1236133
1978-05-01,0.017628187
1978-06-01,-0.08380189
1978-07-01,-0.15281253
1978-08-01,-0.18951729
1978-09-01,-0.18273918
1978-10-01,-0.1408433
1978-11-01,-0.06136049
1978-12-01,0.038832642
1979-01-01,0.1325741
1979-02-01,0.20209965
1979-03-01,0.22079305
1979-04-01,0.19335131
1979-05-01,0.11685336
1979-06-01,0.024009308
1979-07-01,-0.06177319
1979-08-01,-0.14962582
1979-09-01,-0.20503967
1979-10-01,-0.22469625
1979-11-01,-0.19384708
1979-12-01,-0.12184925
1980-01-01,-0.026125256
1980-02-01,0.075866364
