Date,Close
02/01/2018,2.754
03/01/2018,2.75
04/01/2018,2.822
05/01/2018,2.816
08/01/2018,2.808
09/01/2018,2.84
10/01/2018,2.97
11/01/2018,2.988
12/01/2018,3.026
15/01/2018,3.038
16/01/2018,3.044
17/01/2018,3.058
18/01/2018,3.094
19/01/2018,3.088
22/01/2018,3.126
23/01/2018,3.128
24/01/2018,3.082
25/01/2018,3.122
26/01/2018,3.16
29/01/2018,3.185
30/01/2018,3.146
31/01/2018,3.1605
01/02/2018,3.1385
02/02/2018,3.1155
05/02/2018,3.0835
06/02/2018,3.104
07/02/2018,3.21
08/02/2018,3.1475
09/02/2018,3.0835
12/02/2018,3.105
13/02/2018,3.0745
14/02/2018,3.101
15/02/2018,3.097
16/02/2018,3.1375
19/02/2018,3.1075
20/02/2018,3.089
21/02/2018,3.098
22/02/2018,3.0585
23/02/2018,3.083
26/02/2018,3.085
27/02/2018,3.102
28/02/2018,3.096
01/03/2018,3.073
02/03/2018,3.0065
05/03/2018,2.964
06/03/2018,2.9915
07/03/2018,3.0255
08/03/2018,3.0425
09/03/2018,3.038
12/03/2018,3.0515
13/03/2018,3.043
14/03/2018,2.9975
15/03/2018,3.018
16/03/2018,3.077
19/03/2018,3.04
20/03/2018,3.059
21/03/2018,3.041
22/03/2018,2.987
23/03/2018,2.9525
26/03/2018,2.924
27/03/2018,2.9265
28/03/2018,2.953
29/03/2018,2.9535
03/04/2018,2.957
04/04/2018,2.9465
05/04/2018,3.003
06/04/2018,2.9955
09/04/2018,3.021
10/04/2018,3.036
11/04/2018,3.015
12/04/2018,3.05
13/04/2018,3.067
16/04/2018,3.076
17/04/2018,3.105
18/04/2018,3.11
19/04/2018,3.1115
20/04/2018,3.135
23/04/2018,3.168
24/04/2018,3.1955
25/04/2018,3.1535
26/04/2018,3.173
27/04/2018,3.153
30/04/2018,3.157
02/05/2018,3.1685
03/05/2018,3.153
04/05/2018,3.1505
07/05/2018,3.1615
08/05/2018,3.1435
09/05/2018,3.16
10/05/2018,3.131
11/05/2018,3.146
14/05/2018,3.15
15/05/2018,3.178
16/05/2018,3.1
17/05/2018,3.0755
18/05/2018,3
21/05/2018,2.78
22/05/2018,2.799
23/05/2018,2.75
24/05/2018,2.7245
25/05/2018,2.638
28/05/2018,2.5525
29/05/2018,2.448
30/05/2018,2.521
31/05/2018,2.5145
01/06/2018,2.5975
04/06/2018,2.597
05/06/2018,2.4975
06/06/2018,2.4845
07/06/2018,2.455
08/06/2018,2.425
11/06/2018,2.586
12/06/2018,2.5845
13/06/2018,2.598
14/06/2018,2.594
15/06/2018,2.5475
18/06/2018,2.5535
19/06/2018,2.566
20/06/2018,2.6135
21/06/2018,2.562
22/06/2018,2.588
25/06/2018,2.504
26/06/2018,2.478
27/06/2018,2.44
28/06/2018,2.488
29/06/2018,2.4865
02/07/2018,2.4685
03/07/2018,2.519
04/07/2018,2.5315
05/07/2018,2.565
06/07/2018,2.5615
09/07/2018,2.5665
10/07/2018,2.5255
11/07/2018,2.475
12/07/2018,2.446
13/07/2018,2.4605
16/07/2018,2.4555
17/07/2018,2.48
18/07/2018,2.4635
19/07/2018,2.4235
20/07/2018,2.4055
23/07/2018,2.401
24/07/2018,2.475
25/07/2018,2.4465
26/07/2018,2.4775
27/07/2018,2.5095
30/07/2018,2.53
31/07/2018,2.634
01/08/2018,2.513
02/08/2018,2.416
03/08/2018,2.445
06/08/2018,2.44
07/08/2018,2.44
08/08/2018,2.4105
09/08/2018,2.385
10/08/2018,2.298
13/08/2018,2.26
14/08/2018,2.24
16/08/2018,2.1995
17/08/2018,2.1825
20/08/2018,2.169
21/08/2018,2.2425
22/08/2018,2.2105
23/08/2018,2.2
24/08/2018,2.2035
27/08/2018,2.203
28/08/2018,2.179
29/08/2018,2.208
30/08/2018,2.156
31/08/2018,2.1275
03/09/2018,2.171
04/09/2018,2.2835
05/09/2018,2.3315
06/09/2018,2.3
07/09/2018,2.2625
10/09/2018,2.365
11/09/2018,2.3275
12/09/2018,2.34
13/09/2018,2.329
